[2023-03-02 00:36:22,997][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 00:36:23,004][worker-0][ERROR] An error happened during initializing app components: No module named 'sqlalchemy'
[2023-03-02 00:37:13,734][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 00:37:13,955][worker-0][ERROR] An error happened during initializing app components: No module named 'portal.models'
[2023-03-02 00:37:25,837][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 00:37:26,302][worker-0][ERROR] An error happened during initializing app components: No module named 'portal.models'
[2023-03-02 00:41:09,623][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 00:41:10,276][worker-0][INFO] Initialized application
[2023-03-02 00:41:10,277][worker-0][INFO] Initialized Seeds
[2023-03-02 00:41:10,277][worker-0][INFO] Initialized CORS
[2023-03-02 00:41:10,277][worker-0][INFO] App Initialization is finished successfully
[2023-03-02 05:55:32,497][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 05:55:32,989][worker-0][INFO] Initialized application
[2023-03-02 05:55:32,990][worker-0][INFO] Initialized Seeds
[2023-03-02 05:55:32,990][worker-0][INFO] Initialized CORS
[2023-03-02 05:55:32,990][worker-0][INFO] App Initialization is finished successfully
[2023-03-02 05:56:02,410][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 05:56:02,750][worker-0][INFO] Initialized application
[2023-03-02 05:56:02,751][worker-0][INFO] Initialized Seeds
[2023-03-02 05:56:02,751][worker-0][INFO] Initialized CORS
[2023-03-02 05:56:02,751][worker-0][INFO] App Initialization is finished successfully
[2023-03-02 06:02:11,893][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 06:02:12,245][worker-0][INFO] Initialized application
[2023-03-02 06:02:12,245][worker-0][INFO] Initialized Seeds
[2023-03-02 06:02:12,246][worker-0][INFO] Initialized CORS
[2023-03-02 06:02:12,246][worker-0][INFO] App Initialization is finished successfully
[2023-03-02 06:04:04,024][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 06:04:04,399][worker-0][INFO] Initialized application
[2023-03-02 06:04:04,399][worker-0][INFO] Initialized Seeds
[2023-03-02 06:04:04,399][worker-0][INFO] Initialized CORS
[2023-03-02 06:04:04,399][worker-0][INFO] App Initialization is finished successfully
[2023-03-02 06:19:13,276][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 06:19:13,719][worker-0][INFO] Initialized application
[2023-03-02 06:19:13,719][worker-0][INFO] Initialized Seeds
[2023-03-02 06:19:13,719][worker-0][INFO] Initialized CORS
[2023-03-02 06:19:13,719][worker-0][INFO] App Initialization is finished successfully
[2023-03-02 06:20:48,237][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 06:20:48,592][worker-0][INFO] Initialized application
[2023-03-02 06:20:48,592][worker-0][INFO] Initialized Seeds
[2023-03-02 06:20:48,593][worker-0][INFO] Initialized CORS
[2023-03-02 06:20:48,593][worker-0][INFO] App Initialization is finished successfully
[2023-03-02 10:40:32,059][worker-0][INFO] Initialized logger with level 10 for worker 0
[2023-03-02 10:40:32,395][worker-0][INFO] Initialized application
[2023-03-02 10:40:32,396][worker-0][INFO] Initialized Seeds
[2023-03-02 10:40:32,396][worker-0][INFO] Initialized CORS
[2023-03-02 10:40:32,396][worker-0][INFO] App Initialization is finished successfully
